name,brand,model,memory,memory_interface,length,interface,chipset,base_clock,clock_speed,frame_sync,price,item_url,used
ZOTAC GeForce GTX 1070 Mini 8GB GDDR5 VR Ready Super Compact Gaming Graphics Card (ZT-P10700G-10M),ZOTAC, ZT-P10700G-10M , 8 GB , GDDR5 , 210 mm , PCIe x16 , GeForce GTX 1070 , 1518 MHz , 1708 MHz , G-Sync ,$189.99 ,https://pcbuilder.net/component-details/graphics-card/zotac-zt-p10700g-10m/,1
"EVGA GeForce GTX 1070 FTW GAMING ACX 3.0, 8GB GDDR5, RGB LED, 10CM FAN, 10 Power Phases, Double BIOS, DX12 OSD Support (PXOC) Graphics Card",EVGA, 08G-P4-6276-KR , 8 GB , GDDR5 , 267 mm , PCIe x16 , GeForce GTX 1070 , 1607 MHz , 1797 MHz , G-Sync ,$752.53 ,https://pcbuilder.net/component-details/graphics-card/evga-08g-p4-6276-kr/,0
MSI Gaming GeForce GTX 1070 8GB GDDR5 SLI DirectX 12 VR Ready Graphics Card ,MSI, GeForce GTX 1070 , 8 GB , GDDR5 , 279 mm , PCIe x16 , GeForce GTX 1070 , 1506 MHz , 797 MHz , G-Sync ,$288.44 ,https://pcbuilder.net/component-details/graphics-card/msi-geforce-gtx-1070-geforce-gtx-1070-gaming-x-8g/,1
"EVGA GeForce GTX 1660 XC Black Gaming, 6GB GDDR5, HDB Fan",EVGA, 06G-P4-1161-KR , 6 GB , GDDR5 , 189.89 mm , PCIe x16 , GeForce GTX 1660 , 1530 MHz , 1785 MHz , G-Sync ,$324 ,https://pcbuilder.net/component-details/graphics-card/evga-06g-p4-1161-kr/,1
MSI GTX 1660 Ventus XS 6GB GDDR6 Graphics Card,MSI, GTX 1660 Ventus , 6 GB , GDDR6 , 204 mm , PCI Express 3.0  , GeForce GTX 1660 , 1530 MHz , 1830 MHz , G-Sync ,$248.99 ,https://pcbuilder.net/component-details/graphics-card/msi-gtx-1660-ventus-geforce-gtx-1660-ventus-xs-6g-oc/,0
"EVGA GeForce GTX 1660 XC Ultra Gaming, 6GB GDDR5, HDB Fan, 06G-P4-1167-KR",EVGA, GTX 1660 XC Ultra Gaming , 6 GB , GDDR5 , 267.97 mm , PCIe x16 , GeForce GTX 1660 , 1530 MHz , 1845 MHz , G-Sync ,$444.69 ,https://pcbuilder.net/component-details/graphics-card/evga-gtx-1660-xc-ultra-gaming-06g-p4-1167-kr/,1
"Gigabyte GeForce GTX 1660 Gaming OC 6G Graphics Card, 3X Windforce Fans, 6GB 192-bit GDDR5, Gv-N1660GAMING OC-6GD Video Card",Gigabyte, Gv-N1660GAMING OC-6GD , 6 GB , GDDR5 , 280 mm , PCIe x16 , GeForce GTX 1660 , 1530 MHz , 1860 MHz , G-Sync ,N/A ,https://pcbuilder.net/component-details/graphics-card/gigabyte-gv-n1660gaming-oc-6gd/,0
"EVGA GeForce GTX 1660 SC Ultra Gaming, 06G-P4-1067-KR, 6GB GDDR5, Dual Fan",EVGA, GeForce GTX 1660 SC Ultra Gaming , 6 GB , GDDR5 , 202.1 mm , PCIe x16 , GeForce GTX 1660 , 1530 MHz , 1830 MHz , G-Sync ,$229.99 ,https://pcbuilder.net/component-details/graphics-card/evga-geforce-gtx-1660-sc-ultra-gaming-06g-p4-1067-kr/,0
"EVGA 06G-P4-1163-KR GeForce Graphics Cards, GTX 1660, XC Gaming",EVGA, 06G-P4-1163-KR , 6 GB , GDDR5 , 189.89 mm , PCIe x16 , GeForce GTX 1660 , 1530 MHz , 1830 MHz , G-Sync ,$348.22 ,https://pcbuilder.net/component-details/graphics-card/evga-06g-p4-1163-kr-06gp41163kr/,1
MSI GeForce GTX 1660 GAMING X 6G Graphics Card ,MSI, GeForce GTX 1660 GAMING X 6G , 6 GB , GDDR5 , 247 mm , PCIe x16 , GeForce GTX 1660 , 1530 MHz , 1860 MHz , G-Sync ,N/A ,https://pcbuilder.net/component-details/graphics-card/msi-geforce-gtx-1660-gaming-x-6g/,0
"Gigabyte GeForce GTX 1660 OC 6G Graphics Card, 2X Windforce Fans, 6GB 192-Bit GDDR5, Video Card",Gigabyte, GeForce GTX 1660 , 6 GB , GDDR5 , 224 mm , PCI Express 3.0 x16 , GeForce GTX 1660 , 1530 MHz , 1830 MHz , G-Sync ,$335.67 ,https://pcbuilder.net/component-details/graphics-card/gigabyte-geforce-gtx-1660-gv-n1660oc-6gd/,0
"ZOTAC Gaming GeForce GTX 1660 6GB GDDR5 192-bit Gaming Graphics Card, Super Compact, ZT-T16600F-10L",ZOTAC, GeForce GTX 1660 , 6 GB , GDDR5 , 173.4 mm , PCIe x16 , GeForce GTX 1660 , 1530 MHz , 1785 MHz , G-Sync ,$750 ,https://pcbuilder.net/component-details/graphics-card/zotac-geforce-gtx-1660-zt-t16600f-10l/,0
ASRock Phantom Gaming D Radeon RX 5500 XT 8G OC Video Card,ASRock, Radeon RX 5500 XT , 8 GB , GDDR6 , 240.57 mm , PCIe x16 , Radeon RX 5500 XT , 1685 MHz , 1845 MHz , FreeSync ,N/A ,https://pcbuilder.net/component-details/graphics-card/asrock-radeon-rx-5500-xt-90-ga1nzz-00uanf/,0
MSI Gaming Radeon RX 5500 XT Boost Clock: 1845 MHz 128-bit 8GB GDDR6 DP/HDMI Dual Torx 3.0 Fans Crossfire Freesync VR Ready Graphics Card ,MSI, Radeon RX 5500 , 8 GB , GDDR6 , 215 mm , PCIe x16 , Radeon RX 5500 XT , 1647 MHz , 1845 MHz , FreeSync ,N/A ,https://pcbuilder.net/component-details/graphics-card/msi-radeon-rx-5500-radeon-rx-5500-xt-mech-8g-oc/,0
"GIGABYTE Radeon RX 5500 XT OC 8G Graphics Card, PCIe 4.0, 8GB 128-Bit GDDR6",Gigabyte, Radeon RX 5500 XT , 8 GB , GDDR6 , 225 mm , PCI Express 4.0 x16 , Radeon RX 5500 XT , 1647 MHz , 1845 MHz , FreeSync ,$260.07 ,https://pcbuilder.net/component-details/graphics-card/gigabyte-radeon-rx-5500-xt-gv-r55xtoc-8gd/,1
"VisionTek Radeon RX 5500 XT Graphic Card - 8GB GDDR6-1.61 GHz Core, 128 bit Bus Width, DisplayPort, HDMI, DVI",VisionTek, RX 5500 XT , 8 GB , GDDR6 , 177.8 mm , PCIe x16 , Radeon RX 5500 XT , 1607 MHz , 1845 MHz , FreeSync ,$295 ,https://pcbuilder.net/component-details/graphics-card/visiontek-rx-5500-xt-901316/,0
ASRock AMD Radeon RX5500XT Video Board GDDR6 4GB CHALLENGER Series RX5500XT Challenger D 4G OC,ASRock, RXRX 5500 XT Challenger D 4G OC , 4 GB , GDDR6 , 241 mm , PCIe x16 , Radeon RX 5500 XT , 1685 MHz , 1845 MHz , FreeSync ,$259.95 ,https://pcbuilder.net/component-details/graphics-card/asrock-rxrx-5500-xt-challenger-d-4g-oc-rx5500xt-challenger-d-4g-oc/,1
ASUS ROG Strix AMD Radeon RX 5500XT Overclocked 8G GDDR6 1440p HDMI DisplayPort Gaming Graphics Card,ASUS, ROG Strix RX 5500XT OC , 8 GB , GDDR6 , 280 mm , PCIe x16 , Radeon RX 5500 XT , 1607 MHz , 1865 MHz , FreeSync ,$299 ,https://pcbuilder.net/component-details/graphics-card/asus-rog-strix-rx-5500xt-oc-rog-strix-rx5500xt-o8g-gaming/,1
"Gigabyte Radeon RX 5500 XT OC 4G Graphics Card, PCIe 4.0, 4GB 128-Bit GDDR6, Video Card",Gigabyte, RX 5500 XT OC 4G , 4 GB , GDDR6 , 225 mm , PCIe x16 , Radeon RX 5500 XT , 1647 MHz , 1845 MHz , FreeSync ,$199.99 ,https://pcbuilder.net/component-details/graphics-card/gigabyte-rx-5500-xt-oc-4g-radeon-rx-5500-xt-oc-4g/,1
ASUS AMD Radeon RX 5500XT Overclocked O8G GDDR6 Dual Fan EVO Edition HDMI DisplayPort Gaming Graphics Card,ASUS, RX 5500XT EVO Edition OC 8G , 8 GB , GDDR6 , 242 mm , PCIe x16 , Radeon RX 5500 XT , 1607 MHz , 1865 MHz , FreeSync ,$799.66 ,https://pcbuilder.net/component-details/graphics-card/asus-rx-5500xt-evo-edition-oc-8g-dual-rx5500xt-o8g-evo/,1
MSI Gaming Radeon RX 5500 XT Boost Clock: 1845 MHz 128-bit 8GB GDDR6 DP/HDMI Dual Torx 3.0 Fans Crossfire Freesync VR Ready Graphics Card,MSI, RX 5500 XT GAMING X 8G , 8 GB , GDDR6 , 247 mm , PCIe x16 , Radeon RX 5500 XT , 1685 MHz , 1845 MHz , FreeSync ,$515 ,https://pcbuilder.net/component-details/graphics-card/msi-rx-5500-xt-gaming-x-8g/,0
